Country Name,Country Code,Year,Import_Dependency_Pct
Sweden,SWE,1990,38.9
Switzerland,CHE,1990,61.7
Syrian Arab Republic,SYR,1990,-106.4
Tajikistan,TJK,1990,62.1
Tanzania,TZA,1990,9.9
Thailand,THA,1990,42.1
Trinidad and Tobago,TTO,1990,-106.6
Tunisia,TUN,1990,-17.5
Turkiye,TUR,1990,54.0
Turkmenistan,TKM,1990,-316.4
Uganda,UGA,1990,3.6
Ukraine,UKR,1990,48.0
United Arab Emirates,ARE,1990,-395.2
United Kingdom,GBR,1990,2.3
United States,USA,1990,17.9
Upper middle income,UMC,1990,-18.7
Uruguay,URY,1990,52.3
Uzbekistan,UZB,1990,18.4
"Venezuela, RB",VEN,1990,-257.3
Viet Nam,VNM,1990,-0.9
World,WLD,1990,-0.5
"Yemen, Rep.",YEM,1990,-255.4
Zambia,ZMB,1990,10.8
Zimbabwe,ZWE,1990,8.9
Africa Eastern and Southern,AFE,1991,-21.2
Africa Western and Central,AFW,1991,-213.5
Albania,ALB,1991,-3.5
Algeria,DZA,1991,-334.6
Angola,AGO,1991,-392.0
Arab World,ARB,1991,-325.3
Argentina,ARG,1991,-3.9
Australia,AUS,1991,-93.6
Austria,AUT,1991,67.9
Azerbaijan,AZE,1991,16.3
Bahrain,BHR,1991,-156.1
Bangladesh,BGD,1991,14.6
Belarus,BLR,1991,90.3
Belgium,BEL,1991,84.8
Benin,BEN,1991,-6.0
Bolivia,BOL,1991,-90.8
Bosnia and Herzegovina,BIH,1991,31.9
Brazil,BRA,1991,27.8
Brunei Darussalam,BRN,1991,-737.5
Bulgaria,BGR,1991,64.5
Cameroon,CMR,1991,-114.1
Canada,CAN,1991,-36.2
Caribbean small states,CSS,1991,-99.3
Central Europe and the Baltics,CEB,1991,29.1
Chile,CHL,1991,50.6
China,CHN,1991,-3.6
Colombia,COL,1991,-92.3
"Congo, Dem. Rep.",COD,1991,-1.7
"Congo, Rep.",COG,1991,-944.8
Costa Rica,CRI,1991,60.4
Cote d'Ivoire,CIV,1991,26.6
Croatia,HRV,1991,30.9
Curacao,CUW,1991,201.4
Czechia,CZE,1991,15.7
Denmark,DNK,1991,42.8
Early-demographic dividend,EAR,1991,-71.8
