;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Odense;258512;266617;287774;290817;291391;298922;304199;309893;312644;317492;324368;332107;345392;362098;362497;382016;394326
Svendborg;279974;285675;305865;305515;316369;322403;329332;333833;338392;345022;350166;367295;383058;402150;403390;415096;422118
Ærø;252081;253875;268913;268596;274799;275135;286354;286441;293078;296788;301614;309192;322054;334467;333121;338670;348281
Billund;297385;302980;332319;340424;351315;360310;362297;365094;370256;388634;395178;404582;419160;438126;443805;664583;479183
Esbjerg;284905;291273;314005;318803;326380;333776;339525;342965;347657;356903;364804;375139;387735;407452;408834;424428;440595
Fanø;308555;321362;344896;355235;358230;367245;372278;376136;378189;389644;395474;402948;417638;440394;430493;440919;444715
Fredericia;285120;293086;314856;313129;320317;326587;332472;340401;351003;352427;359712;371138;384721;400681;403201;416455;428750
Haderslev;274398;287622;305635;307269;311768;318580;321927;328344;331425;343061;348980;359942;374207;387995;391663;401464;406562
Kolding;295837;298388;325095;330468;338603;342772;350781;359159;363908;374805;383793;394581;415955;433157;429135;443378;451407
Sønderborg;277719;263357;306324;308857;318475;320538;328309;331084;336516;347760;355181;364988;377748;394529;394121;404087;413284
Tønder;265229;269586;290731;296674;298406;308754;311859;319094;322405;339591;341586;358229;366843;380544;395715;395048;404584
Varde;290215;296580;319408;328689;339750;355395;350568;354531;356960;371041;374986;389189;405440;424029;428836;436913;453218
Vejen;283615;288176;315481;318070;332264;342456;341614;350756;351080;368384;374832;385147;402817;420509;425528;614312;604102
Vejle;301016;308236;336805;339077;348808;355086;360946;374581;380016;393124;400816;416414;433780;455448;453527;469802;483890
Aabenraa;282812;283406;307117;310961;316597;321225;324765;331653;336478;349018;354327;364081;379097;394932;401029;409623;424499
Favrskov;322490;329215;360693;367704;378432;389486;396998;403767;411796;423976;434634;447349;468928;490808;491455;503680;508930
Hedensted;312054;320800;344509;345930;356470;366281;374561;384329;384502;395400;409624;419742;438439;456141;459803;466913;475802
Horsens;279287;291816;313630;319645;327363;335826;342924;347794;354693;365893;376465;388909;404857;418568;418221;426641;440312
Norddjurs;267044;271307;292456;298938;303312;307304;311808;315029;317129;325912;331422;339673;355931;367538;375640;383774;391348
Odder;307975;321974;348870;355598;365841;372515;378894;382050;391545;399265;407788;423233;444039;459970;459467;473826;470995
Randers;272066;278033;298800;303328;309369;315157;319603;326874;331189;339287;348869;359584;375237;387683;391922;402031;410722
Samsø;244404;253464;263239;275806;288223;297226;298727;311118;304801;316627;322779;338268;358174;370530;358817;374007;374237
Silkeborg;308391;319510;336836;336574;353559;360585;346627;380109;396900;402340;411763;422606;443609;465372;468097;481134;490775
Skanderborg;339664;348087;381268;391406;403982;413465;425177;434416;442617;452691;464926;482157;510224;530559;528174;541770;550531
Syddjurs;299164;301857;326891;335705;347087;363017;357737;367624;375253;384525;386830;403521;420472;448942;432820;444294;453021
Aarhus;262649;270259;293385;298285;302869;313156;320940;333676;335061;346018;353292;360722;375528;392099;390365;404402;421279
Herning;289509;295838;323149;336503;336454;342542;351144;355568;362373;375057;383771;395254;416002;430711;435002;444466;453452
Holstebro;286914;292573;319220;327677;338035;350464;349541;357247;356402;368683;373848;385826;402843;427107;425384;435749;446229
Ikast-Brande;290658;292792;318845;330043;336362;348023;347845;357454;363561;373404;377590;399902;430892;419398;424702;428930;444014
Lemvig;285390;286362;323521;329851;331272;350729;347538;357265;369627;375659;370509;391668;413317;432873;436089;447019;455531
Ringkøbing-Skjern;291727;300178;324819;333167;343251;350539;353368;357540;359050;374579;379176;393431;410801;430168;430381;441922;456920
Skive;274975;285046;304350;311261;318899;323556;326772;335236;340516;351728;357116;369348;390216;400748;407677;414081;423991
Struer;291319;293294;313906;319852;329326;332871;331188;337380;339168;350034;355977;368222;380486;399168;403105;409433;419298
Viborg;288900;298438;324547;329205;336253;346577;348547;355543;360113;374131;382456;392933;409467;426494;429845;433020;443426
Brønderslev;262848;277473;302696;310535;322385;329849;331705;335867;349619;353373;357436;373551;392674;409302;410545;421597;429222
Frederikshavn;272792;281387;302506;309614;321313;324038;326076;330316;333961;343444;347223;358702;371539;385440;390870;401533;412554
Hjørring;270520;277660;300536;312162;320346;328247;331074;335653;338372;354635;359525;367823;382969;397402;397553;409614;416201
Jammerbugt;278913;289424;312118;321417;330819;339384;339613;343416;345920;353759;361467;373604;391323;411567;409908;414045;423113
Læsø;239513;247051;272399;280618;283459;291512;290879;293312;302462;311824;305803;316098;325132;349302;330960;353646;358063
Mariagerfjord;280337;285063;308614;314787;323995;327608;334278;337637;344513;353558;359999;374220;389914;405044;412607;421396;430526
Morsø;261086;265747;281734;294679;301750;310207;311703;318525;321102;333238;335062;353341;363282;374061;388518;390330;399611
Rebild;301478;315280;339412;353751;364104;374230;379216;384928;392720;406722;419775;435252;455401;475689;486463;500438;514521
Thisted;276915;279942;302262;311003;315645;326003;326768;335697;341364;350240;356546;371355;386037;400842;404770;406302;416392
Vesthimmerlands;266212;271603;290475;302097;308796;317182;319723;323374;328411;339620;344759;359864;371209;401310;403184;406356;413011
Aalborg;264135;271940;292033;295849;300797;305742;309890;316440;320496;331089;338625;346571;360921;375797;379857;394824;411326
