year,population,Region
2008,60316.75,Southern Denmark
2009,60237.0,Southern Denmark
2010,59946.0,Southern Denmark
2011,59750.0,Southern Denmark
2012,59457.25,Southern Denmark
2013,59133.25,Southern Denmark
2014,58977.5,Southern Denmark
2015,58928.5,Southern Denmark
2016,58996.25,Southern Denmark
2017,59095.75,Southern Denmark
2018,59034.5,Southern Denmark
2019,58946.5,Southern Denmark
2020,58676.25,Southern Denmark
2021,58556.5,Southern Denmark
2022,58883.0,Southern Denmark
2023,58842.25,Southern Denmark
2024,58637.5,Southern Denmark
2008,195369.0,North Jutland
2009,196461.0,North Jutland
2010,197786.25,North Jutland
2011,199725.0,North Jutland
2012,201589.75,North Jutland
2013,203983.0,North Jutland
2014,206243.25,North Jutland
2015,208336.0,North Jutland
2016,210779.0,North Jutland
2017,212241.0,North Jutland
2018,213798.0,North Jutland
2019,215851.75,North Jutland
2020,217691.0,North Jutland
2021,219912.5,North Jutland
2022,221616.25,North Jutland
2023,222671.5,North Jutland
2024,223473.25,North Jutland
2008,299457.25,Central Jutland
2009,303985.75,Central Jutland
2010,307805.25,Central Jutland
2011,311784.0,Central Jutland
2012,315845.5,Central Jutland
2013,320541.25,Central Jutland
2014,324594.0,Central Jutland
2015,327601.25,Central Jutland
2016,332301.0,Central Jutland
2017,337210.25,Central Jutland
2018,342261.25,Central Jutland
2019,346622.25,Central Jutland
2020,350704.25,Central Jutland
2021,353218.0,Central Jutland
2022,357203.75,Central Jutland
2023,363305.0,Central Jutland
2024,368974.25,Central Jutland
2008,27644.75,Capital Region
2009,27784.75,Capital Region
2010,27737.25,Capital Region
2011,27774.5,Capital Region
2012,27865.75,Capital Region
2013,27782.25,Capital Region
2014,27754.5,Capital Region
2015,27732.75,Capital Region
2016,27852.75,Capital Region
2017,27857.25,Capital Region
2018,27768.0,Capital Region
2019,27768.0,Capital Region
2020,27605.25,Capital Region
2021,27270.5,Capital Region
2022,27567.5,Capital Region
2023,27554.5,Capital Region
2024,27704.5,Capital Region
2008,23608.25,Capital Region
2009,23921.75,Capital Region
2010,24120.75,Capital Region
2011,24077.5,Capital Region
2012,24067.25,Capital Region
2013,24079.5,Capital Region
2014,24229.75,Capital Region
2015,24513.5,Capital Region
2016,24823.5,Capital Region
2017,25093.75,Capital Region
2018,25377.25,Capital Region
2019,25686.25,Capital Region
2020,25693.5,Capital Region
2021,25895.5,Capital Region
2022,25947.5,Capital Region
2023,26009.5,Capital Region
2024,25990.5,Capital Region
2008,42167.0,Southern Denmark
2009,42101.5,Southern Denmark
2010,41884.25,Southern Denmark
2011,41579.75,Southern Denmark
2012,41394.25,Southern Denmark
2013,41180.75,Southern Denmark
2014,41033.5,Southern Denmark
2015,41135.25,Southern Denmark
2016,41349.0,Southern Denmark
2017,41406.75,Southern Denmark
2018,41382.25,Southern Denmark
2019,41128.0,Southern Denmark
2020,40894.75,Southern Denmark
2021,40861.5,Southern Denmark
2022,40969.25,Southern Denmark
2023,40847.75,Southern Denmark
2024,40585.75,Southern Denmark
2008,47265.25,Capital Region
2009,47512.5,Capital Region
2010,47721.5,Capital Region
