year,population,Region
2015,22398.25,Capital Region
2016,22480.5,Capital Region
2017,22555.0,Capital Region
2018,22586.25,Capital Region
2019,22841.75,Capital Region
2020,23275.0,Capital Region
2021,23480.5,Capital Region
2022,23553.75,Capital Region
2023,23668.25,Capital Region
2024,23913.5,Capital Region
2008,47793.0,Zealand Region
2009,47902.0,Zealand Region
2010,47873.5,Zealand Region
2011,47939.25,Zealand Region
2012,47973.0,Zealand Region
2013,48033.5,Zealand Region
2014,48431.0,Zealand Region
2015,49057.75,Zealand Region
2016,49666.75,Zealand Region
2017,49971.0,Zealand Region
2018,50056.25,Zealand Region
2019,50325.5,Zealand Region
2020,50522.75,Zealand Region
2021,50609.25,Zealand Region
2022,51131.25,Zealand Region
2023,51588.75,Zealand Region
2024,52574.75,Zealand Region
2008,40607.0,Capital Region
2009,40707.0,Capital Region
2010,40758.5,Capital Region
2011,40651.75,Capital Region
2012,40657.25,Capital Region
2013,40739.25,Capital Region
2014,40867.75,Capital Region
2015,40985.5,Capital Region
2016,41190.25,Capital Region
2017,41235.0,Capital Region
2018,41251.25,Capital Region
2019,41202.75,Capital Region
2020,41094.25,Capital Region
2021,41112.5,Capital Region
2022,41403.5,Capital Region
2023,41826.5,Capital Region
2024,41910.0,Capital Region
2008,63401.5,Zealand Region
2009,63052.0,Zealand Region
2010,62806.5,Zealand Region
2011,62245.75,Zealand Region
2012,61712.5,Zealand Region
2013,61191.0,Zealand Region
2014,60917.75,Zealand Region
2015,60870.0,Zealand Region
2016,61121.0,Zealand Region
2017,61266.0,Zealand Region
2018,61102.25,Zealand Region
2019,60858.0,Zealand Region
2020,60503.75,Zealand Region
2021,60367.0,Zealand Region
2022,60350.5,Zealand Region
2023,60040.5,Zealand Region
2024,59582.75,Zealand Region
2008,56443.0,Southern Denmark
2009,56445.5,Southern Denmark
2010,56303.25,Southern Denmark
2011,56123.5,Southern Denmark
2012,56212.75,Southern Denmark
2013,56034.25,Southern Denmark
2014,55912.25,Southern Denmark
2015,55964.5,Southern Denmark
2016,56045.25,Southern Denmark
2017,56006.75,Southern Denmark
2018,55921.25,Southern Denmark
2019,55798.75,Southern Denmark
2020,55572.25,Southern Denmark
2021,55367.25,Southern Denmark
2022,55404.25,Southern Denmark
2023,55440.75,Southern Denmark
2024,55361.0,Southern Denmark
2008,30882.25,Capital Region
2009,31075.25,Capital Region
2010,31081.5,Capital Region
2011,31083.5,Capital Region
2012,30896.0,Capital Region
2013,30756.0,Capital Region
2014,30696.25,Capital Region
2015,30849.0,Capital Region
2016,31114.25,Capital Region
2017,31243.0,Capital Region
2018,31282.75,Capital Region
2019,31359.5,Capital Region
2020,31478.5,Capital Region
2021,31443.25,Capital Region
2022,31495.5,Capital Region
2023,31501.0,Capital Region
2024,31601.5,Capital Region
2008,45745.0,Central Jutland
2009,45976.0,Central Jutland
2010,45977.75,Central Jutland
2011,46054.0,Central Jutland
2012,45945.25,Central Jutland
2013,45834.25,Central Jutland
2014,45861.75,Central Jutland
2015,46207.75,Central Jutland
2016,46318.75,Central Jutland
2017,46603.5,Central Jutland
2018,46651.5,Central Jutland
2019,46703.0,Central Jutland
2020,46719.25,Central Jutland
2021,46925.25,Central Jutland
2022,47366.25,Central Jutland
2023,47641.0,Central Jutland
2024,47803.75,Central Jutland
2008,5488268.5,
2009,5519677.5,
2010,5544126.75,
2011,5567726.75,
2012,5588006.0,
2013,5610187.25,
2014,5639285.25,
2015,5676506.5,
2016,5723561.75,
2017,5761050.75,
2018,5790756.5,
2019,5814854.5,
2020,5827542.5,
2021,5850248.25,
2022,5898980.75,
2023,5944412.75,
2024,5972869.5,
2008,60859.0,Capital Region
2009,61071.25,Capital Region
2010,61274.25,Capital Region
2011,61360.5,Capital Region
2012,61601.5,Capital Region
2013,61572.25,Capital Region
2014,61593.75,Capital Region
2015,61867.25,Capital Region
2016,62319.0,Capital Region
2017,62567.5,Capital Region
2018,62666.75,Capital Region
2019,62637.5,Capital Region
2020,62881.0,Capital Region
2021,63079.5,Capital Region
2022,63121.0,Capital Region
2023,63585.25,Capital Region
2024,63940.75,Capital Region
2008,26606.5,Capital Region
2009,26603.5,Capital Region
2010,26636.75,Capital Region
2011,26580.5,Capital Region
2012,26696.0,Capital Region
2013,27109.5,Capital Region
2014,27897.75,Capital Region
2015,28205.75,Capital Region
2016,28426.5,Capital Region
2017,28482.5,Capital Region
2018,28595.5,Capital Region
