;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Odense;161563;165689;174895;175150;178092;180589;183139;184817;187264;189449;193758;198207;207096;216831;219629;231790;242389
Svendborg;168626;171366;182649;186153;188614;192236;198074;203556;204232;207625;210773;223031;232934;246527;244505;254289;256601
Ærø;163453;165802;171023;168334;169744;175265;184937;185965;195375;194650;202530;204476;212611;221629;225860;223688;238029
Billund;176988;180448;192732;192874;200169;203139;208756;207630;211929;218485;224225;232052;235220;244762;251221;259187;272707
Esbjerg;171637;173449;183575;185333;190081;193604;198254;202325;203869;208687;214901;220164;227986;237682;242240;252291;265704
Fanø;197241;202278;212540;212736;223033;225219;223155;233038;235202;254031;255980;267118;271857;283755;282916;287905;296143
Fredericia;173494;177755;188309;187003;191531;192668;197095;202138;203384;208014;214474;220013;229047;239218;241567;250337;260199
Haderslev;167454;170258;178827;180662;185906;188586;192695;196617;198602;205769;208782;215006;225006;231682;235758;242539;249138
Kolding;171467;173465;187346;189467;193266;197087;200707;205646;206039;212073;218594;226637;238541;249421;246891;255800;264748
Sønderborg;166630;169642;179017;180885;184167;189243;193767;195702;199615;204179;208671;214619;223331;234841;235116;236448;246740
Tønder;162905;163272;175368;179722;181183;186458;189543;192737;194715;199453;206164;216345;217404;225580;234003;235282;240883
Varde;172075;178638;185908;190864;197211;201562;205903;206085;206538;214455;220859;225141;236717;246549;252042;252879;261015
Vejen;166319;168328;185705;183384;195834;203409;206197;213744;209980;221304;226156;226506;239229;251634;253706;621405;588598
Vejle;176108;179314;190935;193337;198736;203595;209745;215988;218317;224704;226777;234388;244740;258217;258070;272067;277395
Aabenraa;166869;168175;179511;180722;185263;188553;194499;196993;198703;204043;212245;213532;223894;233081;236656;242517;250370
Favrskov;181028;184156;197833;199640;209323;211539;216656;220080;221969;229738;236580;242768;251134;265694;265216;271865;278245
Hedensted;183246;185380;195321;194203;200178;206461;214195;217755;221399;225855;232911;238901;248502;257706;266865;269283;279231
Horsens;165680;170554;180900;183572;186771;193834;197222;200050;203100;209435;216138;222951;234924;241220;244512;250861;261358
Norddjurs;164947;165627;176226;179614;184507;186192;189388;190234;193173;198393;203743;208206;217218;223165;232326;238576;246430
Odder;182539;185257;198194;206722;212665;214253;220430;221394;227913;228196;237457;242431;253432;261096;261739;271144;278142
Randers;165438;167836;178681;181959;185232;188286;192051;196105;198563;202156;210050;217299;225180;230986;234967;242249;249064
Samsø;163002;174934;177838;190755;197271;200518;196255;209594;218086;208454;216553;217599;232560;245925;233730;262336;253786
Silkeborg;172018;174440;188903;192310;198380;202549;208664;213504;218113;226407;229111;238043;248758;256423;259940;267978;276283
Skanderborg;185777;189470;204084;209446;218124;222984;231033;238305;240024;241380;250264;259011;268104;281636;280583;289446;295859
Syddjurs;180060;179435;193999;197784;210903;231078;207056;221133;229356;227939;228057;238254;250376;265358;258024;261791;267778
Aarhus;161283;164925;175642;178539;179017;183158;188863;191311;194152;198440;204393;208597;216648;225991;226810;233827;245515
Herning;170602;171334;183641;195200;190583;191908;200751;204250;206279;213401;215979;224226;239788;244548;246795;253983;261852
Holstebro;170863;173661;184702;188496;193455;201308;200276;207006;206496;212347;214291;220505;233800;241726;243773;250610;256446
Ikast-Brande;172731;172379;183010;189306;193718;197444;203408;207044;211075;217080;216307;223166;240915;236632;239945;243442;251986
Lemvig;168776;168840;186697;190178;190400;195508;201275;210792;216925;208269;214457;223649;230926;239132;272458;246281;263999
Ringkøbing-Skjern;172910;174874;186655;191345;194869;197877;206015;207462;209210;214476;218823;225648;231976;243373;244627;252667;260479
Skive;165682;168988;179174;183036;188443;191651;191996;199640;201752;207699;211739;218687;231347;235993;243662;247450;251736
Struer;164859;171290;179132;183116;188976;191544;194514;200142;200649;204875;209540;215283;223660;231927;241539;246258;262196
Viborg;172092;175511;187606;189627;194402;199523;201928;205538;208620;212907;218990;226899;235112;244696;248850;253574;261999
Brønderslev;160081;165256;176630;183635;188080;190424;192298;196021;195554;202360;208777;215894;229479;233428;235893;241640;247457
Frederikshavn;165317;170238;181915;186912;193612;197018;200041;200806;202919;209182;211641;217783;225482;233331;239949;245103;250380
Hjørring;162888;166732;177428;184206;188673;194414;197934;199960;201464;212197;212753;216852;225168;236627;237692;246356;251069
Jammerbugt;164326;168886;179195;185704;190221;193219;195176;194372;201242;204903;208806;219719;224151;240409;239533;246107;256346
Læsø;150914;156587;174699;182463;183598;186866;195688;196373;199245;207944;213193;213750;216170;235546;234857;246404;245126
Mariagerfjord;163338;166320;179403;180317;187420;189086;194528;197313;201482;206523;212448;217049;229409;237050;240656;251483;254459
Morsø;159089;160689;170241;176537;181355;184583;188873;191225;194460;199936;205439;211477;218054;225255;235869;234570;241351
Rebild;169786;175984;186120;195881;199621;206889;210243;215367;215758;221774;230959;237270;252889;256249;263036;271598;283532
Thisted;160818;165063;176735;182190;186095;190107;193545;199733;202599;204923;208213;219186;228684;232352;233675;237929;247582
Vesthimmerlands;157852;164246;175581;178226;184282;187380;191018;195969;197995;203429;207895;214160;219621;235482;237927;244909;247906
Aalborg;160094;163356;173848;175968;177895;179749;182254;186684;187832;193242;198499;203226;209869;220920;221848;232550;244422
