;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Odense;383461;397388;435608;444951;443624;460474;469851;484607;486677;497326;511716;525114;546337;576492;575093;605577;620405
Svendborg;396118;405673;436939;431929;454086;465127;474933;481923;492962;505367;514913;535949;562499;588932;596206;612006;625494
Ærø;358266;363756;388930;393194;407406;402712;417685;421442;427579;436667;436128;452745;475304;492243;484688;506709;511972
Billund;391518;399220;444284;459409;474635;490861;494025;502529;508217;538516;546961;559784;588170;617856;626346;1059603;681626
Esbjerg;397591;408769;445327;454107;467414;479329;487949;493142;500020;515265;524997;543799;563958;597438;596992;622370;644769
Fanø;422604;445604;476450;493507;493107;510280;522985;521908;521013;532625;541352;543798;571957;607110;593819;607439;612211
Fredericia;394973;408501;444225;444227;455021;466930;477867;489552;509950;513027;522980;541376;562339;589342;594487;615901;633468
Haderslev;373488;396607;423973;426923;432038;443925;450629;459910;464240;481056;492698;511347;532082;557471;560595;578667;586007
Kolding;412412;417314;456986;466161;479097;487668;500692;512865;524153;540178;553923;568118;601417;627577;626641;649232;659693
Sønderborg;376865;347855;422953;427000;445230;447055;459412;465107;472655;491851;504479;522880;542247;565719;568169;591576;602125
Tønder;354491;363379;392916;401189;404632;420749;424007;435983;441792;472482;470207;496242;515575;536067;561797;564219;579397
Varde;378789;385438;420879;435543;451164;477704;466909;477567;481393;503246;505791;529137;551396;579089;587025;606011;627763
Vejen;370494;378756;414003;422465;438927;454736;452541;465250;468695;492855;502436;525709;549551;574415;585014;607598;619185
Vejle;414307;425326;471060;474666;489987;499923;507764;528847;537384;558112;571236;594304;620777;653003;650882;672299;696794
Aabenraa;381057;383652;418196;425744;435840;444337;446270;458327;468297;490020;493730;516345;537636;561089;571823;586136;611712
Favrskov;411366;423018;466989;479500;493492;509986;520919;531472;545178;564008;577412;594556;628753;655715;659351;679837;682804
Hedensted;397866;412577;447795;452502;469218;482481;492509;508140;507914;526259;547498;560489;587492;612632;618063;630721;642150
Horsens;384707;405513;439405;452140;466670;478424;491090;499178;509675;527497;543354;561106;583856;610006;609709;623806;640764
Norddjurs;366036;375412;409222;419440;426147;436004;444610;455466;456464;471193;479613;492723;520641;540942;550049;563113;574011
Odder;403421;428747;468951;472654;488317;504414;513930;520766;534546;550867;559332;583262;613406;634274;632767;655928;648842
Randers;378548;389534;421917;429686;441640;451569;459041;471337;479253;492901;506698;522388;549162;571471;581147;595844;609460
Samsø;343178;353410;367239;380084;397786;411805;424644;436171;410347;446503;455081;489007;516687;531706;519909;522414;534355
Silkeborg;423962;443952;463232;462038;490197;501861;470905;530329;558397;561106;578186;592425;623728;656985;659226;679405;691257
Skanderborg;436540;449994;496175;512580;528893;543598;561001;571498;584735;600818;615978;638850;679027;702523;701716;723195;737393
Syddjurs;397385;402724;436991;450989;464431;478745;491364;497679;505549;525109;531833;555220;577785;619556;596468;616281;630050
Aarhus;411857;426199;469158;478527;492595;512800;520502;547653;546458;568468;580300;594052;621068;655647;654295;680304;703901
Herning;394021;406405;446774;464094;469645;483336;491040;498836;510963;529741;545061;560846;588954;615463;623923;637974;651430
Holstebro;391777;399724;441500;456893;473390;488214;488036;496165;496721;516237;526465;545284;568043;612666;609537;624474;643281
Ikast-Brande;382576;386920;427260;442707;450201;470328;467936;483347;493662;508115;519682;556556;601915;587652;598895;606406;633620
Lemvig;378805;382345;434430;443355;449418;482315;469593;482428;500462;522927;509169;542050;574689;604103;583946;640984;643886
Ringkøbing-Skjern;384796;399281;435382;447289;463289;474312;475437;484052;486165;511956;518324;542033;570050;598091;599410;617468;641957
Skive;370475;386199;414349;425650;436731;445282;455173;463312;473045;491159;500099;518621;551883;569226;575943;589223;609312
Struer;392371;390913;424207;434689;446383;455455;452051;461011;466022;483845;493395;512917;532286;563032;565065;575973;581942
Viborg;389379;405732;444752;453110;463579;482041;485687;496950;503190;528983;541354;556113;584267;611859;616650;621405;637081
Brønderslev;344253;367848;404255;412707;431878;446984;451708;456770;482335;485807;487240;512850;536803;569176;571612;588759;601501
Frederikshavn;368989;382061;412353;423203;443056;447685;449276;459784;466902;479946;487847;505567;526732;546700;554016;575561;597836
Hjørring;365869;376062;410905;426962;440487;452639;457893;466595;473718;495262;506011;520540;546107;564904;568203;585563;597448
Jammerbugt;362242;379676;412785;426600;440826;454851;456666;465771;465219;478186;491296;506276;537878;565604;563510;570631;583860
Læsø;331110;339735;375370;389331;403880;414625;403766;411216;428145;436612;426581;452638;473114;512404;468592;506674;514876
Mariagerfjord;378898;386677;420971;434514;446050;453825;463388;468696;478601;494124;503596;528635;550677;574159;584477;595610;613198
Morsø;352372;360139;381173;400353;412477;429069;433158;442166;444623;465013;465009;498297;515098;531490;550163;557893;574238
Rebild;387184;406952;443460;461384;478183;493066;500136;506621;518030;539477;555145;576042;602368;633462;647338;667649;685344
Thisted;373736;376701;408891;421937;430255;448566;448064;459814;469021;485873;494086;516087;537621;564876;573704;574476;590172
Vesthimmerlands;361264;366533;391591;413009;422346;437935;440790;445625;453465;472990;480363;504660;524078;567911;572767;576794;589863
Aalborg;386348;399874;433329;441560;453081;464302;471548;481075;488435;506075;517271;529802;558066;582107;592444;616279;639654
