Municipality,Region,year,income
Holstebro,Central Jutland,2009,288652.6666666667
Horsens,Central Jutland,2009,289294.3333333333
Hvidovre,Capital Region,2009,295185.6666666667
Høje-Taastrup,Capital Region,2009,306745.3333333333
Hørsholm,Capital Region,2009,415990.0
Ikast-Brande,Central Jutland,2009,284030.3333333333
Ishøj,Capital Region,2009,283045.6666666667
Jammerbugt,North Jutland,2009,279328.6666666667
Kalundborg,Zealand Region,2009,285429.6666666667
Kerteminde,Southern Denmark,2009,291595.6666666667
Kolding,Southern Denmark,2009,296389.0
Køge,Zealand Region,2009,309064.3333333333
Langeland,Southern Denmark,2009,248047.33333333334
Lejre,Zealand Region,2009,332329.0
Lemvig,Central Jutland,2009,279182.3333333333
Lolland,Zealand Region,2009,252702.66666666666
Lyngby-Taarbæk,Capital Region,2009,364294.6666666667
Læsø,North Jutland,2009,247791.0
Mariagerfjord,North Jutland,2009,279353.3333333333
Middelfart,Southern Denmark,2009,302919.0
Morsø,North Jutland,2009,262191.6666666667
Norddjurs,Central Jutland,2009,270782.0
Nordfyns,Southern Denmark,2009,275193.0
Nyborg,Southern Denmark,2009,283633.3333333333
Næstved,Zealand Region,2009,288951.6666666667
Odder,Central Jutland,2009,311992.6666666667
Odense,Southern Denmark,2009,276564.6666666667
Odsherred,Zealand Region,2009,269739.0
Randers,Central Jutland,2009,278467.6666666667
Rebild,North Jutland,2009,299405.3333333333
Ringkøbing-Skjern,Central Jutland,2009,291444.3333333333
Ringsted,Zealand Region,2009,300927.3333333333
Roskilde,Zealand Region,2009,324722.6666666667
Rudersdal,Capital Region,2009,424702.0
Rødovre,Capital Region,2009,292631.0
Samsø,Central Jutland,2009,260602.66666666666
Silkeborg,Central Jutland,2009,312634.0
Skanderborg,Central Jutland,2009,329183.6666666667
Skive,Central Jutland,2009,280077.6666666667
Slagelse,Zealand Region,2009,282493.0
Solrød,Zealand Region,2009,342208.0
Sorø,Zealand Region,2009,298019.6666666667
Stevns,Zealand Region,2009,300212.3333333333
Struer,Central Jutland,2009,285165.6666666667
Svendborg,Southern Denmark,2009,287571.3333333333
Syddjurs,Central Jutland,2009,294672.0
Sønderborg,Southern Denmark,2009,260284.66666666666
Thisted,North Jutland,2009,273902.0
Tårnby,Capital Region,2009,312478.0
Tønder,Southern Denmark,2009,265412.3333333333
Vallensbæk,Capital Region,2009,342561.0
Varde,Southern Denmark,2009,286885.3333333333
Vejen,Southern Denmark,2009,278420.0
Vejle,Southern Denmark,2009,304292.0
Vesthimmerland,North Jutland,2009,267460.6666666667
Viborg,Central Jutland,2009,293227.0
Vordingborg,Zealand Region,2009,268946.6666666667
Ærø,Southern Denmark,2009,261144.33333333334
Aabenraa,Southern Denmark,2010,301608.0
Aalborg,North Jutland,2010,299736.6666666667
Aarhus,Central Jutland,2010,312728.3333333333
Albertslund,Capital Region,2010,308963.0
Allerød,Capital Region,2010,434833.6666666667
Assens,Southern Denmark,2010,306560.6666666667
Ballerup,Capital Region,2010,326828.6666666667
Billund,Southern Denmark,2010,323111.6666666667
Bornholm,Capital Region,2010,284931.3333333333
Brøndby,Capital Region,2010,302629.3333333333
Brønderslev,North Jutland,2010,294527.0
Copenhagen,Capital Region,2010,287346.3333333333
Dragør,Capital Region,2010,408677.3333333333
Egedal,Capital Region,2010,394668.3333333333
Esbjerg,Southern Denmark,2010,314302.3333333333
Faaborg-Midtfyn,Southern Denmark,2010,301650.6666666667
Fanø,Southern Denmark,2010,344628.6666666667
Favrskov,Central Jutland,2010,341838.3333333333
Faxe,Zealand Region,2010,318267.3333333333
Fredensborg,Capital Region,2010,391063.3333333333
Fredericia,Southern Denmark,2010,315796.6666666667
Frederiksberg,Capital Region,2010,342117.3333333333
Frederikshavn,North Jutland,2010,298924.6666666667
Frederikssund,Capital Region,2010,339176.0
Furesø,Capital Region,2010,423334.6666666667
Gentofte,Capital Region,2010,533115.6666666666
Gladsaxe,Capital Region,2010,343452.0
Glostrup,Capital Region,2010,325790.0
Greve,Zealand Region,2010,368453.6666666667
Gribskov,Capital Region,2010,348475.3333333333
Guldborgsund,Zealand Region,2010,286823.0
Haderslev,Southern Denmark,2010,302811.6666666667
Halsnæs,Capital Region,2010,311398.6666666667
Hedensted,Central Jutland,2010,329208.3333333333
Helsingør,Capital Region,2010,344897.0
Herlev,Capital Region,2010,330349.6666666667
Herning,Central Jutland,2010,317854.6666666667
Hillerød,Capital Region,2010,368956.3333333333
Hjørring,North Jutland,2010,296289.6666666667
Holbæk,Zealand Region,2010,323363.6666666667
Holstebro,Central Jutland,2010,315140.6666666667
Horsens,Central Jutland,2010,311311.6666666667
Hvidovre,Capital Region,2010,319074.0
Høje-Taastrup,Capital Region,2010,326310.3333333333
Hørsholm,Capital Region,2010,504336.3333333333
Ikast-Brande,Central Jutland,2010,309705.0
Ishøj,Capital Region,2010,302491.6666666667
Jammerbugt,North Jutland,2010,301366.0
Kalundborg,Zealand Region,2010,309408.3333333333
Kerteminde,Southern Denmark,2010,313568.6666666667
Kolding,Southern Denmark,2010,323142.3333333333
Køge,Zealand Region,2010,335016.6666666667
Langeland,Southern Denmark,2010,265423.3333333333
Lejre,Zealand Region,2010,368173.0
Lemvig,Central Jutland,2010,314882.6666666667
Lolland,Zealand Region,2010,269655.0
Lyngby-Taarbæk,Capital Region,2010,417518.6666666667
Læsø,North Jutland,2010,274156.0
Mariagerfjord,North Jutland,2010,302996.0
Middelfart,Southern Denmark,2010,329818.3333333333
Morsø,North Jutland,2010,277716.0
Norddjurs,Central Jutland,2010,292634.6666666667
Nordfyns,Southern Denmark,2010,300419.0
Nyborg,Southern Denmark,2010,303081.0
Næstved,Zealand Region,2010,311054.0
Odder,Central Jutland,2010,338671.6666666667
Odense,Southern Denmark,2010,299425.6666666667
Odsherred,Zealand Region,2010,290186.3333333333
Randers,Central Jutland,2010,299799.3333333333
Rebild,North Jutland,2010,322997.3333333333
Ringkøbing-Skjern,Central Jutland,2010,315618.6666666667
Ringsted,Zealand Region,2010,326644.0
Roskilde,Zealand Region,2010,355849.0
Rudersdal,Capital Region,2010,511538.6666666667
Rødovre,Capital Region,2010,314104.3333333333
Samsø,Central Jutland,2010,269438.6666666667
Silkeborg,Central Jutland,2010,329657.0
Skanderborg,Central Jutland,2010,360509.0
Skive,Central Jutland,2010,299291.0
Slagelse,Zealand Region,2010,301587.3333333333
Solrød,Zealand Region,2010,381251.3333333333
Sorø,Zealand Region,2010,318542.3333333333
Stevns,Zealand Region,2010,324412.0
Struer,Central Jutland,2010,305748.3333333333
Svendborg,Southern Denmark,2010,308484.3333333333
Syddjurs,Central Jutland,2010,319293.6666666667
Sønderborg,Southern Denmark,2010,302764.6666666667
Thisted,North Jutland,2010,295962.6666666667
Tårnby,Capital Region,2010,336339.3333333333
Tønder,Southern Denmark,2010,286338.3333333333
Vallensbæk,Capital Region,2010,373876.0
Varde,Southern Denmark,2010,308731.6666666667
Vejen,Southern Denmark,2010,305063.0
Vejle,Southern Denmark,2010,332933.3333333333
Vesthimmerland,North Jutland,2010,285882.3333333333
Viborg,Central Jutland,2010,318968.3333333333
Vordingborg,Zealand Region,2010,292720.3333333333
Ærø,Southern Denmark,2010,276288.6666666667
Aabenraa,Southern Denmark,2011,305809.0
Aalborg,North Jutland,2011,304459.0
Aarhus,Central Jutland,2011,318450.3333333333
Albertslund,Capital Region,2011,307160.6666666667
Allerød,Capital Region,2011,452258.6666666667
Assens,Southern Denmark,2011,310726.6666666667
Ballerup,Capital Region,2011,336048.0
Billund,Southern Denmark,2011,330902.3333333333
Bornholm,Capital Region,2011,286149.0
Brøndby,Capital Region,2011,308545.3333333333
Brønderslev,North Jutland,2011,302292.3333333333
Copenhagen,Capital Region,2011,295723.0
Dragør,Capital Region,2011,442251.3333333333
Egedal,Capital Region,2011,401930.3333333333
Esbjerg,Southern Denmark,2011,319414.3333333333
Faaborg-Midtfyn,Southern Denmark,2011,308560.0
Fanø,Southern Denmark,2011,353826.0
Favrskov,Central Jutland,2011,348948.0
Faxe,Zealand Region,2011,318980.3333333333
Fredensborg,Capital Region,2011,398193.3333333333
Fredericia,Southern Denmark,2011,314786.3333333333
Frederiksberg,Capital Region,2011,351272.0
Frederikshavn,North Jutland,2011,306576.3333333333
Frederikssund,Capital Region,2011,345654.3333333333
