Municipality,Region,year,income
Fanø,Southern Denmark,2014,372806.0
Favrskov,Central Jutland,2014,378191.0
Faxe,Zealand Region,2014,339983.0
Fredensborg,Capital Region,2014,435458.0
Fredericia,Southern Denmark,2014,335811.3333333333
Frederiksberg,Capital Region,2014,387452.3333333333
Frederikshavn,North Jutland,2014,325131.0
Frederikssund,Capital Region,2014,372599.6666666667
Furesø,Capital Region,2014,482754.3333333333
Gentofte,Capital Region,2014,637447.3333333334
Gladsaxe,Capital Region,2014,382113.6666666667
Glostrup,Capital Region,2014,347303.6666666667
Greve,Zealand Region,2014,408327.0
Gribskov,Capital Region,2014,380720.3333333333
Guldborgsund,Zealand Region,2014,306502.6666666667
Haderslev,Southern Denmark,2014,321750.3333333333
Halsnæs,Capital Region,2014,338261.3333333333
Hedensted,Central Jutland,2014,360421.6666666667
Helsingør,Capital Region,2014,388045.0
Herlev,Capital Region,2014,358294.3333333333
Herning,Central Jutland,2014,347645.0
Hillerød,Capital Region,2014,404865.6666666667
Hjørring,North Jutland,2014,328967.0
Holbæk,Zealand Region,2014,351421.6666666667
Holstebro,Central Jutland,2014,345951.0
Horsens,Central Jutland,2014,343745.3333333333
Hvidovre,Capital Region,2014,347810.6666666667
Høje-Taastrup,Capital Region,2014,349617.3333333333
Hørsholm,Capital Region,2014,573633.3333333334
Ikast-Brande,Central Jutland,2014,339729.6666666667
Ishøj,Capital Region,2014,319921.3333333333
Jammerbugt,North Jutland,2014,330485.0
Kalundborg,Zealand Region,2014,337092.0
Kerteminde,Southern Denmark,2014,343008.3333333333
Kolding,Southern Denmark,2014,350726.6666666667
Køge,Zealand Region,2014,365721.3333333333
Langeland,Southern Denmark,2014,287482.6666666667
Lejre,Zealand Region,2014,397837.3333333333
Lemvig,Central Jutland,2014,339468.6666666667
Lolland,Zealand Region,2014,294497.6666666667
Lyngby-Taarbæk,Capital Region,2014,493591.6666666667
Læsø,North Jutland,2014,296777.6666666667
Mariagerfjord,North Jutland,2014,330731.3333333333
Middelfart,Southern Denmark,2014,356467.0
Morsø,North Jutland,2014,311244.6666666667
Norddjurs,Central Jutland,2014,315268.6666666667
Nordfyns,Southern Denmark,2014,328878.6666666667
Nyborg,Southern Denmark,2014,327125.6666666667
Næstved,Zealand Region,2014,338009.6666666667
Odder,Central Jutland,2014,371084.6666666667
Odense,Southern Denmark,2014,319063.0
Odsherred,Zealand Region,2014,316765.6666666667
Randers,Central Jutland,2014,323565.0
Rebild,North Jutland,2014,363198.3333333333
Ringkøbing-Skjern,Central Jutland,2014,344940.0
Ringsted,Zealand Region,2014,352048.3333333333
Roskilde,Zealand Region,2014,395988.6666666667
Rudersdal,Capital Region,2014,623674.6666666666
Rødovre,Capital Region,2014,344895.0
Samsø,Central Jutland,2014,306542.0
Silkeborg,Central Jutland,2014,342065.3333333333
Skanderborg,Central Jutland,2014,405737.0
Skive,Central Jutland,2014,324647.0
Slagelse,Zealand Region,2014,326274.3333333333
Solrød,Zealand Region,2014,440775.0
Sorø,Zealand Region,2014,351767.0
Stevns,Zealand Region,2014,354557.3333333333
Struer,Central Jutland,2014,325917.6666666667
Svendborg,Southern Denmark,2014,334113.0
Syddjurs,Central Jutland,2014,352052.3333333333
Sønderborg,Southern Denmark,2014,327162.6666666667
Thisted,North Jutland,2014,322792.3333333333
Tårnby,Capital Region,2014,371071.0
Tønder,Southern Denmark,2014,308469.6666666667
Vallensbæk,Capital Region,2014,412149.3333333333
Varde,Southern Denmark,2014,341126.6666666667
Vejen,Southern Denmark,2014,333450.6666666667
Vejle,Southern Denmark,2014,359485.0
Vesthimmerland,North Jutland,2014,317177.0
Viborg,Central Jutland,2014,345387.3333333333
Vordingborg,Zealand Region,2014,319821.3333333333
Ærø,Southern Denmark,2014,296325.3333333333
Aabenraa,Southern Denmark,2015,328991.0
Aalborg,North Jutland,2015,328066.3333333333
Aarhus,Central Jutland,2015,357546.6666666667
Albertslund,Capital Region,2015,330876.6666666667
Allerød,Capital Region,2015,500810.3333333333
Assens,Southern Denmark,2015,334955.6666666667
Ballerup,Capital Region,2015,373176.0
Billund,Southern Denmark,2015,358417.6666666667
Bornholm,Capital Region,2015,307038.0
Brøndby,Capital Region,2015,326066.3333333333
Brønderslev,North Jutland,2015,329552.6666666667
Copenhagen,Capital Region,2015,330542.0
Dragør,Capital Region,2015,487301.3333333333
Egedal,Capital Region,2015,444538.0
Esbjerg,Southern Denmark,2015,346144.0
Faaborg-Midtfyn,Southern Denmark,2015,335055.3333333333
Fanø,Southern Denmark,2015,377027.3333333333
Favrskov,Central Jutland,2015,385106.3333333333
Faxe,Zealand Region,2015,344751.6666666667
Fredensborg,Capital Region,2015,451556.6666666667
Fredericia,Southern Denmark,2015,344030.3333333333
Frederiksberg,Capital Region,2015,400008.0
Frederikshavn,North Jutland,2015,330302.0
Frederikssund,Capital Region,2015,380900.6666666667
Furesø,Capital Region,2015,486470.0
Gentofte,Capital Region,2015,717204.3333333334
Gladsaxe,Capital Region,2015,390693.3333333333
Glostrup,Capital Region,2015,356900.6666666667
Greve,Zealand Region,2015,414156.0
Gribskov,Capital Region,2015,386051.0
Guldborgsund,Zealand Region,2015,313070.6666666667
Haderslev,Southern Denmark,2015,328290.3333333333
Halsnæs,Capital Region,2015,345479.0
Hedensted,Central Jutland,2015,370074.6666666667
Helsingør,Capital Region,2015,399633.3333333333
Herlev,Capital Region,2015,366347.0
Herning,Central Jutland,2015,352884.6666666667
Hillerød,Capital Region,2015,424584.6666666667
Hjørring,North Jutland,2015,334069.3333333333
Holbæk,Zealand Region,2015,360842.3333333333
Holstebro,Central Jutland,2015,353472.6666666667
Horsens,Central Jutland,2015,349007.3333333333
Hvidovre,Capital Region,2015,353967.0
Høje-Taastrup,Capital Region,2015,354607.6666666667
Hørsholm,Capital Region,2015,598423.0
Ikast-Brande,Central Jutland,2015,349281.6666666667
Ishøj,Capital Region,2015,325588.6666666667
Jammerbugt,North Jutland,2015,334519.6666666667
Kalundborg,Zealand Region,2015,347875.3333333333
Kerteminde,Southern Denmark,2015,348427.3333333333
Kolding,Southern Denmark,2015,359223.3333333333
Køge,Zealand Region,2015,372722.6666666667
Langeland,Southern Denmark,2015,288977.0
Lejre,Zealand Region,2015,406045.6666666667
Lemvig,Central Jutland,2015,350161.6666666667
Lolland,Zealand Region,2015,296372.6666666667
Lyngby-Taarbæk,Capital Region,2015,531065.0
Læsø,North Jutland,2015,300300.3333333333
Mariagerfjord,North Jutland,2015,334548.6666666667
Middelfart,Southern Denmark,2015,370589.0
Morsø,North Jutland,2015,317305.3333333333
Norddjurs,Central Jutland,2015,320243.0
Nordfyns,Southern Denmark,2015,334231.3333333333
Nyborg,Southern Denmark,2015,331536.6666666667
Næstved,Zealand Region,2015,344773.6666666667
Odder,Central Jutland,2015,374736.6666666667
Odense,Southern Denmark,2015,326439.0
Odsherred,Zealand Region,2015,321543.0
Randers,Central Jutland,2015,331438.6666666667
Rebild,North Jutland,2015,368972.0
Ringkøbing-Skjern,Central Jutland,2015,349684.6666666667
Ringsted,Zealand Region,2015,357828.3333333333
Roskilde,Zealand Region,2015,404409.3333333333
Rudersdal,Capital Region,2015,639287.0
Rødovre,Capital Region,2015,355031.6666666667
Samsø,Central Jutland,2015,318961.0
Silkeborg,Central Jutland,2015,374647.3333333333
Skanderborg,Central Jutland,2015,414739.6666666667
Skive,Central Jutland,2015,332729.3333333333
Slagelse,Zealand Region,2015,332271.6666666667
Solrød,Zealand Region,2015,453185.6666666667
Sorø,Zealand Region,2015,360557.6666666667
Stevns,Zealand Region,2015,359155.0
Struer,Central Jutland,2015,332844.3333333333
Svendborg,Southern Denmark,2015,339770.6666666667
Syddjurs,Central Jutland,2015,362145.3333333333
Sønderborg,Southern Denmark,2015,330631.0
Thisted,North Jutland,2015,331748.0
Tårnby,Capital Region,2015,378827.0
Tønder,Southern Denmark,2015,315938.0
Vallensbæk,Capital Region,2015,415124.3333333333
Varde,Southern Denmark,2015,346061.0
Vejen,Southern Denmark,2015,343250.0
Vejle,Southern Denmark,2015,373138.6666666667
Vesthimmerland,North Jutland,2015,321656.0
Viborg,Central Jutland,2015,352677.0
Vordingborg,Zealand Region,2015,326826.6666666667
Ærø,Southern Denmark,2015,297949.3333333333
Aabenraa,Southern Denmark,2016,334492.6666666667
Aalborg,North Jutland,2016,332254.3333333333
Aarhus,Central Jutland,2016,358557.0
Albertslund,Capital Region,2016,335560.3333333333
Allerød,Capital Region,2016,508291.0
Assens,Southern Denmark,2016,339462.0
Ballerup,Capital Region,2016,376695.6666666667
Billund,Southern Denmark,2016,363467.3333333333
Bornholm,Capital Region,2016,312349.3333333333
Brøndby,Capital Region,2016,332631.0
Brønderslev,North Jutland,2016,342502.6666666667
Copenhagen,Capital Region,2016,339689.3333333333
Dragør,Capital Region,2016,495781.6666666667
Egedal,Capital Region,2016,447879.0
Esbjerg,Southern Denmark,2016,350515.3333333333
Faaborg-Midtfyn,Southern Denmark,2016,332505.3333333333
Fanø,Southern Denmark,2016,378134.6666666667
Favrskov,Central Jutland,2016,392981.0
Faxe,Zealand Region,2016,349596.3333333333
Fredensborg,Capital Region,2016,455839.3333333333
Fredericia,Southern Denmark,2016,354779.0
Frederiksberg,Capital Region,2016,409694.3333333333
Frederikshavn,North Jutland,2016,334594.0
Frederikssund,Capital Region,2016,388046.0
Furesø,Capital Region,2016,498536.0
Gentofte,Capital Region,2016,693988.0
Gladsaxe,Capital Region,2016,395736.6666666667
Glostrup,Capital Region,2016,360911.3333333333
Greve,Zealand Region,2016,419534.3333333333
Gribskov,Capital Region,2016,391570.3333333333
Guldborgsund,Zealand Region,2016,315515.6666666667
Haderslev,Southern Denmark,2016,331422.3333333333
Halsnæs,Capital Region,2016,350242.3333333333
Hedensted,Central Jutland,2016,371271.6666666667
Helsingør,Capital Region,2016,404019.3333333333
Herlev,Capital Region,2016,373297.0
Herning,Central Jutland,2016,359871.6666666667
Hillerød,Capital Region,2016,426061.3333333333
Hjørring,North Jutland,2016,337851.3333333333
Holbæk,Zealand Region,2016,363646.6666666667
Holstebro,Central Jutland,2016,353206.3333333333
Horsens,Central Jutland,2016,355822.6666666667
Hvidovre,Capital Region,2016,360605.3333333333
Høje-Taastrup,Capital Region,2016,359740.6666666667
Hørsholm,Capital Region,2016,604229.3333333334
Ikast-Brande,Central Jutland,2016,356099.3333333333
Ishøj,Capital Region,2016,329065.3333333333
Jammerbugt,North Jutland,2016,337460.3333333333
Kalundborg,Zealand Region,2016,351495.3333333333
Kerteminde,Southern Denmark,2016,354416.0
Kolding,Southern Denmark,2016,364700.0
Køge,Zealand Region,2016,376719.0
Langeland,Southern Denmark,2016,294342.0
Lejre,Zealand Region,2016,415362.3333333333
Lemvig,Central Jutland,2016,362338.0
Lolland,Zealand Region,2016,296573.3333333333
Lyngby-Taarbæk,Capital Region,2016,513690.6666666667
Læsø,North Jutland,2016,309950.6666666667
Mariagerfjord,North Jutland,2016,341532.0
Middelfart,Southern Denmark,2016,371755.6666666667
Morsø,North Jutland,2016,320061.6666666667
Norddjurs,Central Jutland,2016,322255.3333333333
Nordfyns,Southern Denmark,2016,337149.0
Nyborg,Southern Denmark,2016,335234.0
Næstved,Zealand Region,2016,349396.0
Odder,Central Jutland,2016,384668.0
Odense,Southern Denmark,2016,328861.6666666667
Odsherred,Zealand Region,2016,324879.3333333333
Randers,Central Jutland,2016,336335.0
Rebild,North Jutland,2016,375502.6666666667
Ringkøbing-Skjern,Central Jutland,2016,351475.0
Ringsted,Zealand Region,2016,362935.3333333333
Roskilde,Zealand Region,2016,411391.0
Rudersdal,Capital Region,2016,677508.6666666666
Rødovre,Capital Region,2016,361105.0
Samsø,Central Jutland,2016,311078.0
Silkeborg,Central Jutland,2016,391136.6666666667
Skanderborg,Central Jutland,2016,422458.6666666667
Skive,Central Jutland,2016,338437.6666666667
Slagelse,Zealand Region,2016,337867.0
Solrød,Zealand Region,2016,464793.6666666667
Sorø,Zealand Region,2016,363349.3333333333
Stevns,Zealand Region,2016,364544.6666666667
Struer,Central Jutland,2016,335279.6666666667
Svendborg,Southern Denmark,2016,345195.3333333333
Syddjurs,Central Jutland,2016,370052.6666666667
Sønderborg,Southern Denmark,2016,336262.0
Thisted,North Jutland,2016,337661.3333333333
Tårnby,Capital Region,2016,386623.6666666667
Tønder,Southern Denmark,2016,319637.3333333333
Vallensbæk,Capital Region,2016,414494.0
Varde,Southern Denmark,2016,348297.0
Vejen,Southern Denmark,2016,343251.6666666667
Vejle,Southern Denmark,2016,378572.3333333333
Vesthimmerland,North Jutland,2016,326623.6666666667
Viborg,Central Jutland,2016,357307.6666666667
Vordingborg,Zealand Region,2016,327819.6666666667
Ærø,Southern Denmark,2016,305344.0
Aabenraa,Southern Denmark,2017,347693.6666666667
Aalborg,North Jutland,2017,343468.6666666667
Aarhus,Central Jutland,2017,370975.3333333333
Albertslund,Capital Region,2017,340058.6666666667
Allerød,Capital Region,2017,519675.0
Assens,Southern Denmark,2017,349365.0
Ballerup,Capital Region,2017,384737.0
Billund,Southern Denmark,2017,381878.3333333333
Bornholm,Capital Region,2017,321672.6666666667
Brøndby,Capital Region,2017,338385.3333333333
Brønderslev,North Jutland,2017,347180.0
Copenhagen,Capital Region,2017,349407.3333333333
Dragør,Capital Region,2017,509091.3333333333
Egedal,Capital Region,2017,462044.3333333333
Esbjerg,Southern Denmark,2017,360285.0
Faaborg-Midtfyn,Southern Denmark,2017,347062.3333333333
Fanø,Southern Denmark,2017,392100.0
Favrskov,Central Jutland,2017,405907.3333333333
Faxe,Zealand Region,2017,357707.0
Fredensborg,Capital Region,2017,462052.0
Fredericia,Southern Denmark,2017,357822.6666666667
Frederiksberg,Capital Region,2017,425448.6666666667
Frederikshavn,North Jutland,2017,344190.6666666667
Frederikssund,Capital Region,2017,395123.3333333333
Furesø,Capital Region,2017,512154.0
Gentofte,Capital Region,2017,706121.0
Gladsaxe,Capital Region,2017,406023.0
Glostrup,Capital Region,2017,370226.0
Greve,Zealand Region,2017,429847.3333333333
Gribskov,Capital Region,2017,400354.0
Guldborgsund,Zealand Region,2017,322046.3333333333
Haderslev,Southern Denmark,2017,343295.3333333333
Halsnæs,Capital Region,2017,360698.3333333333
Hedensted,Central Jutland,2017,382504.6666666667
Helsingør,Capital Region,2017,414194.6666666667
Herlev,Capital Region,2017,379320.6666666667
Herning,Central Jutland,2017,372733.0
Hillerød,Capital Region,2017,433152.3333333333
Hjørring,North Jutland,2017,354031.3333333333
Holbæk,Zealand Region,2017,374179.0
Holstebro,Central Jutland,2017,365755.6666666667
Horsens,Central Jutland,2017,367608.3333333333
Hvidovre,Capital Region,2017,368266.3333333333
Høje-Taastrup,Capital Region,2017,368748.6666666667
Hørsholm,Capital Region,2017,637699.3333333334
Ikast-Brande,Central Jutland,2017,366199.6666666667
Ishøj,Capital Region,2017,334938.0
Jammerbugt,North Jutland,2017,345616.0
Kalundborg,Zealand Region,2017,357326.6666666667
Kerteminde,Southern Denmark,2017,360881.3333333333
Kolding,Southern Denmark,2017,375685.3333333333
Køge,Zealand Region,2017,387237.3333333333
Langeland,Southern Denmark,2017,300809.6666666667
Lejre,Zealand Region,2017,426999.6666666667
Lemvig,Central Jutland,2017,368951.6666666667
Lolland,Zealand Region,2017,303011.6666666667
Lyngby-Taarbæk,Capital Region,2017,521163.0
Læsø,North Jutland,2017,318793.3333333333
Mariagerfjord,North Jutland,2017,351401.6666666667
Middelfart,Southern Denmark,2017,389920.0
Morsø,North Jutland,2017,332729.0
Norddjurs,Central Jutland,2017,331832.6666666667
Nordfyns,Southern Denmark,2017,348512.6666666667
Nyborg,Southern Denmark,2017,343285.3333333333
Næstved,Zealand Region,2017,359401.0
Odder,Central Jutland,2017,392776.0
Odense,Southern Denmark,2017,334755.6666666667
Odsherred,Zealand Region,2017,334096.0
Randers,Central Jutland,2017,344781.3333333333
Rebild,North Jutland,2017,389324.3333333333
Ringkøbing-Skjern,Central Jutland,2017,367003.6666666667
Ringsted,Zealand Region,2017,375225.0
Roskilde,Zealand Region,2017,424099.6666666667
Rudersdal,Capital Region,2017,687860.3333333334
Rødovre,Capital Region,2017,369800.6666666667
Samsø,Central Jutland,2017,323861.3333333333
Silkeborg,Central Jutland,2017,396617.6666666667
Skanderborg,Central Jutland,2017,431629.6666666667
Skive,Central Jutland,2017,350195.3333333333
Slagelse,Zealand Region,2017,346804.6666666667
Solrød,Zealand Region,2017,473139.6666666667
Sorø,Zealand Region,2017,374439.0
Stevns,Zealand Region,2017,373384.6666666667
Struer,Central Jutland,2017,346251.3333333333
Svendborg,Southern Denmark,2017,352671.3333333333
Syddjurs,Central Jutland,2017,379191.0
Sønderborg,Southern Denmark,2017,347930.0
Thisted,North Jutland,2017,347012.0
Tårnby,Capital Region,2017,396739.6666666667
Tønder,Southern Denmark,2017,337175.3333333333
Vallensbæk,Capital Region,2017,418484.0
Varde,Southern Denmark,2017,362914.0
Vejen,Southern Denmark,2017,360847.6666666667
Vejle,Southern Denmark,2017,391980.0
Vesthimmerland,North Jutland,2017,338679.6666666667
Viborg,Central Jutland,2017,372007.0
Vordingborg,Zealand Region,2017,336426.0
Ærø,Southern Denmark,2017,309368.3333333333
Aabenraa,Southern Denmark,2018,353434.0
Aalborg,North Jutland,2018,351465.0
Aarhus,Central Jutland,2018,379328.3333333333
Albertslund,Capital Region,2018,349272.6666666667
Allerød,Capital Region,2018,527214.6666666666
Assens,Southern Denmark,2018,355606.6666666667
Ballerup,Capital Region,2018,393999.3333333333
Billund,Southern Denmark,2018,388788.0
Bornholm,Capital Region,2018,326724.0
Brøndby,Capital Region,2018,348781.3333333333
Brønderslev,North Jutland,2018,351151.0
Copenhagen,Capital Region,2018,361578.6666666667
Dragør,Capital Region,2018,523704.6666666667
Egedal,Capital Region,2018,472216.0
Esbjerg,Southern Denmark,2018,368234.0
Faaborg-Midtfyn,Southern Denmark,2018,355825.3333333333
Fanø,Southern Denmark,2018,397602.0
Favrskov,Central Jutland,2018,416208.6666666667
Faxe,Zealand Region,2018,367331.3333333333
Fredensborg,Capital Region,2018,474197.3333333333
Fredericia,Southern Denmark,2018,365722.0
Frederiksberg,Capital Region,2018,440374.0
Frederikshavn,North Jutland,2018,348903.6666666667
Frederikssund,Capital Region,2018,406439.6666666667
Furesø,Capital Region,2018,522997.6666666667
Gentofte,Capital Region,2018,718840.3333333334
Gladsaxe,Capital Region,2018,414629.0
Glostrup,Capital Region,2018,379574.6666666667
Greve,Zealand Region,2018,438739.0
Gribskov,Capital Region,2018,408393.0
Guldborgsund,Zealand Region,2018,328340.0
Haderslev,Southern Denmark,2018,350153.3333333333
Halsnæs,Capital Region,2018,368864.6666666667
Hedensted,Central Jutland,2018,396677.6666666667
Helsingør,Capital Region,2018,424092.3333333333
Herlev,Capital Region,2018,392364.6666666667
Herning,Central Jutland,2018,381603.6666666667
Hillerød,Capital Region,2018,441888.3333333333
Hjørring,North Jutland,2018,359429.6666666667
Holbæk,Zealand Region,2018,381779.6666666667
Holstebro,Central Jutland,2018,371534.6666666667
Horsens,Central Jutland,2018,378652.3333333333
Hvidovre,Capital Region,2018,379556.0
Høje-Taastrup,Capital Region,2018,374852.6666666667
Hørsholm,Capital Region,2018,628994.3333333334
Ikast-Brande,Central Jutland,2018,371193.0
Ishøj,Capital Region,2018,342434.0
Jammerbugt,North Jutland,2018,353856.3333333333
Kalundborg,Zealand Region,2018,365714.0
Kerteminde,Southern Denmark,2018,369192.3333333333
Kolding,Southern Denmark,2018,385436.6666666667
Køge,Zealand Region,2018,397873.0
Langeland,Southern Denmark,2018,303701.3333333333
Lejre,Zealand Region,2018,438903.0
Lemvig,Central Jutland,2018,364711.6666666667
Lolland,Zealand Region,2018,308400.6666666667
Lyngby-Taarbæk,Capital Region,2018,534723.0
Læsø,North Jutland,2018,315192.3333333333
Mariagerfjord,North Jutland,2018,358681.0
Middelfart,Southern Denmark,2018,394646.0
Morsø,North Jutland,2018,335170.0
Norddjurs,Central Jutland,2018,338259.3333333333
Nordfyns,Southern Denmark,2018,357292.6666666667
Nyborg,Southern Denmark,2018,355158.6666666667
Næstved,Zealand Region,2018,367035.6666666667
Odder,Central Jutland,2018,401525.6666666667
Odense,Southern Denmark,2018,343280.6666666667
Odsherred,Zealand Region,2018,340893.6666666667
Randers,Central Jutland,2018,355205.6666666667
Rebild,North Jutland,2018,401959.6666666667
Ringkøbing-Skjern,Central Jutland,2018,372107.6666666667
Ringsted,Zealand Region,2018,381039.0
Roskilde,Zealand Region,2018,435803.3333333333
Rudersdal,Capital Region,2018,694611.3333333334
Rødovre,Capital Region,2018,379405.0
Samsø,Central Jutland,2018,331471.0
Silkeborg,Central Jutland,2018,406353.3333333333
Skanderborg,Central Jutland,2018,443722.6666666667
Skive,Central Jutland,2018,356318.0
Slagelse,Zealand Region,2018,354388.3333333333
Solrød,Zealand Region,2018,482227.0
Sorø,Zealand Region,2018,381623.3333333333
Stevns,Zealand Region,2018,385229.3333333333
Struer,Central Jutland,2018,352970.6666666667
Svendborg,Southern Denmark,2018,358617.3333333333
Syddjurs,Central Jutland,2018,382240.0
Sønderborg,Southern Denmark,2018,356110.3333333333
Thisted,North Jutland,2018,352948.3333333333
Tårnby,Capital Region,2018,408308.3333333333
Tønder,Southern Denmark,2018,339319.0
Vallensbæk,Capital Region,2018,426309.6666666667
Varde,Southern Denmark,2018,367212.0
Vejen,Southern Denmark,2018,367808.0
Vejle,Southern Denmark,2018,399609.6666666667
Vesthimmerland,North Jutland,2018,344339.0
Viborg,Central Jutland,2018,380933.3333333333
Vordingborg,Zealand Region,2018,345122.0
Ærø,Southern Denmark,2018,313424.0
Aabenraa,Southern Denmark,2019,364652.6666666667
Aalborg,North Jutland,2019,359866.3333333333
Aarhus,Central Jutland,2019,387790.3333333333
Albertslund,Capital Region,2019,354489.6666666667
Allerød,Capital Region,2019,549719.0
Assens,Southern Denmark,2019,369890.0
Ballerup,Capital Region,2019,404768.3333333333
Billund,Southern Denmark,2019,398806.0
Bornholm,Capital Region,2019,340062.3333333333
Brøndby,Capital Region,2019,354840.0
Brønderslev,North Jutland,2019,367431.6666666667
Copenhagen,Capital Region,2019,375453.0
Dragør,Capital Region,2019,539870.6666666666
Egedal,Capital Region,2019,477295.3333333333
Esbjerg,Southern Denmark,2019,379700.6666666667
Faaborg-Midtfyn,Southern Denmark,2019,365093.3333333333
Fanø,Southern Denmark,2019,404621.3333333333
Favrskov,Central Jutland,2019,428224.3333333333
Faxe,Zealand Region,2019,377362.0
Fredensborg,Capital Region,2019,491729.6666666667
Fredericia,Southern Denmark,2019,377509.0
Frederiksberg,Capital Region,2019,456590.6666666667
Frederikshavn,North Jutland,2019,360684.0
Frederikssund,Capital Region,2019,414934.6666666667
Furesø,Capital Region,2019,541465.6666666666
Gentofte,Capital Region,2019,787246.3333333334
Gladsaxe,Capital Region,2019,429249.3333333333
Glostrup,Capital Region,2019,388524.6666666667
Greve,Zealand Region,2019,446215.6666666667
Gribskov,Capital Region,2019,416524.3333333333
Guldborgsund,Zealand Region,2019,338835.3333333333
Haderslev,Southern Denmark,2019,362098.3333333333
Halsnæs,Capital Region,2019,376558.3333333333
Hedensted,Central Jutland,2019,406377.3333333333
Helsingør,Capital Region,2019,438119.6666666667
Herlev,Capital Region,2019,401393.0
Herning,Central Jutland,2019,393442.0
Hillerød,Capital Region,2019,455316.3333333333
Hjørring,North Jutland,2019,368405.0
Holbæk,Zealand Region,2019,393507.0
Holstebro,Central Jutland,2019,383871.6666666667
Horsens,Central Jutland,2019,390988.6666666667
Hvidovre,Capital Region,2019,390635.0
Høje-Taastrup,Capital Region,2019,385207.3333333333
Hørsholm,Capital Region,2019,657310.6666666666
Ikast-Brande,Central Jutland,2019,393208.0
Ishøj,Capital Region,2019,348970.3333333333
Jammerbugt,North Jutland,2019,366533.0
Kalundborg,Zealand Region,2019,376955.0
Kerteminde,Southern Denmark,2019,380193.3333333333
Kolding,Southern Denmark,2019,396445.3333333333
Køge,Zealand Region,2019,408782.0
Langeland,Southern Denmark,2019,318561.0
Lejre,Zealand Region,2019,446826.6666666667
Lemvig,Central Jutland,2019,385789.0
Lolland,Zealand Region,2019,317962.3333333333
Lyngby-Taarbæk,Capital Region,2019,557479.3333333334
Læsø,North Jutland,2019,327495.3333333333
Mariagerfjord,North Jutland,2019,373301.3333333333
Middelfart,Southern Denmark,2019,414836.6666666667
Morsø,North Jutland,2019,354371.6666666667
Norddjurs,Central Jutland,2019,346867.3333333333
Nordfyns,Southern Denmark,2019,366726.6666666667
Nyborg,Southern Denmark,2019,363419.0
Næstved,Zealand Region,2019,378819.0
Odder,Central Jutland,2019,416308.6666666667
Odense,Southern Denmark,2019,351809.3333333333
Odsherred,Zealand Region,2019,350309.3333333333
Randers,Central Jutland,2019,366423.6666666667
Rebild,North Jutland,2019,416188.0
Ringkøbing-Skjern,Central Jutland,2019,387037.3333333333
Ringsted,Zealand Region,2019,392295.6666666667
Roskilde,Zealand Region,2019,451405.0
Rudersdal,Capital Region,2019,742659.0
Rødovre,Capital Region,2019,388661.6666666667
Samsø,Central Jutland,2019,348291.3333333333
Silkeborg,Central Jutland,2019,417691.3333333333
Skanderborg,Central Jutland,2019,460006.0
Skive,Central Jutland,2019,368885.3333333333
Slagelse,Zealand Region,2019,363006.6666666667
Solrød,Zealand Region,2019,511484.6666666667
Sorø,Zealand Region,2019,396742.6666666667
Stevns,Zealand Region,2019,398974.6666666667
Struer,Central Jutland,2019,365474.0
Svendborg,Southern Denmark,2019,375425.0
Syddjurs,Central Jutland,2019,398998.3333333333
Sønderborg,Southern Denmark,2019,367495.6666666667
Thisted,North Jutland,2019,368876.0
Tårnby,Capital Region,2019,419197.3333333333
Tønder,Southern Denmark,2019,356938.6666666667
Vallensbæk,Capital Region,2019,435563.3333333333
Varde,Southern Denmark,2019,381155.6666666667
Vejen,Southern Denmark,2019,379120.6666666667
Vejle,Southern Denmark,2019,415035.3333333333
Vesthimmerland,North Jutland,2019,359561.3333333333
Viborg,Central Jutland,2019,391981.6666666667
Vordingborg,Zealand Region,2019,354078.3333333333
Ærø,Southern Denmark,2019,322137.6666666667
Aabenraa,Southern Denmark,2020,380209.0
Aalborg,North Jutland,2020,376285.3333333333
Aarhus,Central Jutland,2020,404414.6666666667
Albertslund,Capital Region,2020,370006.6666666667
Allerød,Capital Region,2020,561152.0
Assens,Southern Denmark,2020,383413.6666666667
Ballerup,Capital Region,2020,421486.3333333333
Billund,Southern Denmark,2020,414183.3333333333
Bornholm,Capital Region,2020,350786.3333333333
Brøndby,Capital Region,2020,370583.6666666667
Brønderslev,North Jutland,2020,386318.6666666667
Copenhagen,Capital Region,2020,393663.6666666667
Dragør,Capital Region,2020,556357.0
Egedal,Capital Region,2020,498478.3333333333
Esbjerg,Southern Denmark,2020,393226.3333333333
Faaborg-Midtfyn,Southern Denmark,2020,381565.0
Fanø,Southern Denmark,2020,420484.0
Favrskov,Central Jutland,2020,449605.0
Faxe,Zealand Region,2020,396638.0
Fredensborg,Capital Region,2020,504667.3333333333
Fredericia,Southern Denmark,2020,392035.6666666667
Frederiksberg,Capital Region,2020,480061.0
Frederikshavn,North Jutland,2020,374584.3333333333
Frederikssund,Capital Region,2020,434039.6666666667
Furesø,Capital Region,2020,557873.0
Gentofte,Capital Region,2020,785724.3333333334
Gladsaxe,Capital Region,2020,453867.3333333333
Glostrup,Capital Region,2020,407453.6666666667
Greve,Zealand Region,2020,466533.0
Gribskov,Capital Region,2020,439708.6666666667
Guldborgsund,Zealand Region,2020,356928.3333333333
Haderslev,Southern Denmark,2020,377098.3333333333
Halsnæs,Capital Region,2020,395043.6666666667
Hedensted,Central Jutland,2020,424811.0
Helsingør,Capital Region,2020,460255.6666666667
Herlev,Capital Region,2020,427799.3333333333
